GENDER,AGE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
FEMALE,32,2235670,2242353,2283264,2361636,2366074
FEMALE,33,2210925,2214073,2244285,2292881,2373133
FEMALE,34,2220811,2217919,2215434,2252399,2302887
FEMALE,35,2205409,2220163,2218725,2222175,2260999
FEMALE,36,2185302,2178207,2220531,2224822,2230154
FEMALE,37,2218082,2212984,2178210,2225736,2231923
FEMALE,38,2197929,2212356,2212469,2182374,2231776
FEMALE,39,2188863,2182675,2211377,2215927,2187712
FEMALE,40,2152644,2175031,2181238,2213679,2220019
FEMALE,41,2078017,2092825,2173043,2182445,2216440
FEMALE,42,2052757,2047530,2090325,2173405,2184254
FEMALE,43,2003407,2027576,2045051,2089929,2174636
FEMALE,44,1966435,1958590,2024745,2044212,2090544
FEMALE,45,1975750,1982106,1955306,2023282,2044425
FEMALE,46,1945431,1946488,1978213,1953443,2023001
FEMALE,47,1990793,1975573,1942190,1975398,1952527
FEMALE,48,2093229,2068269,1970714,1938905,1973769
FEMALE,49,2209054,2187225,2062617,1966590,1936933
FEMALE,50,2134405,2154311,2180405,2057084,1963376
FEMALE,51,2072097,2077584,2147051,2173562,2052848
FEMALE,52,2030547,2037140,2069960,2139952,2168568
FEMALE,53,2064652,2053062,2028972,2062596,2134513
FEMALE,54,2103430,2087106,2043956,2020934,2056712
FEMALE,55,2204933,2179652,2076914,2034650,2014056
FEMALE,56,2240272,2235444,2167996,2066336,2026928
FEMALE,57,2245430,2243908,2222531,2155822,2057408
FEMALE,58,2263967,2256087,2229664,2208621,2145182
FEMALE,59,2253358,2257837,2240362,2214080,2196292
FEMALE,60,2216625,2222045,2240625,2223206,2200363
FEMALE,61,2192840,2190180,2203693,2222259,2208227
FEMALE,62,2183900,2177431,2170704,2183803,2205798
FEMALE,63,2119035,2146800,2156552,2149350,2165952
FEMALE,64,2066536,2064217,2124415,2133805,2130360
